Date,Minimum_CVaR,Mean_CVaR_lambda_0.005,Mean_CVaR_lambda_0.01,Mean_CVaR_lambda_0.03,Mean_CVaR_lambda_0.05,Mean_CVaR_lambda_0.1,Mean_CVaR_lambda_0.5
2010-06-03,-0.0012048125882524463,-0.01519452089384532,-0.015194520895089214,-0.005024219863059343,-0.0027435808919974436,-0.001974599962587198,-0.0013242331974879784
2010-06-04,0.006257142410299732,0.010427292008390321,0.010427292013345246,0.009262740872620467,0.007865289186074875,0.006937669455489459,0.006305705103918147
2010-06-07,0.0023419193881764055,0.019296882071784704,0.01929688207445701,0.006945286706179887,0.004244408905311969,0.0029380605143207728,0.002383966682651728
2010-06-08,-0.0022595094291019135,-0.004033236249726513,-0.004033236251074657,-0.0018741558000728853,-0.002774570792089981,-0.0025998713693791142,-0.0023844815993931956
2010-06-09,-0.0005031141098484904,-0.0036363838120982983,-0.0036363838120502257,-0.0008716159124235734,-0.00110321353288112,-0.0009287670209510157,-0.0006834849694145051
2010-06-10,-0.003964114248505846,-0.013188423763202173,-0.01318842376729712,-0.007358836143543157,-0.005786496697363974,-0.004579712731800578,-0.004030177444013572
2010-06-11,0.006139290217781701,0.008741707193207215,0.008741707193425263,0.006951803459435579,0.006692135406004995,0.006429745908846707,0.006269663710309459
2010-06-14,-0.0006856549740753559,-0.0034164124205777746,-0.003416412420967463,-0.001162691426036977,-0.0011754659059671768,-0.0009539626474519558,-0.00076684888028411
2010-06-15,0.002309038413405906,0.011622068623666548,0.011622068621672144,0.002418522415799984,0.0024156952011054056,0.002620457781648433,0.0024456255615610267
2010-06-16,0.002035890622994696,-0.0054549635844339806,-0.005454963584645256,0.00027157712044512117,0.0013732433268160982,0.0016730800542863467,0.001980724875730644
2010-06-17,0.00538142060153457,0.013047450099367808,0.013047450100239333,0.006430456190868128,0.0061372819248486365,0.005893276132342695,0.005478383060324221
2010-06-18,-0.0004017732140226826,0.007629206670658917,0.007629206670837885,0.0006627767992741784,0.0001342360331517689,4.599740284372267e-05,-0.0003250129031036053
2010-06-21,-0.0025418317454823924,-0.01986487343539156,-0.019864873436871378,-0.004973274759717317,-0.004236080827784816,-0.0033737585979538576,-0.0027880388361822828
2010-06-22,0.003517030159057022,0.008804697759331015,0.008804697761570557,0.004831261175223034,0.004657148508830478,0.003845391138605825,0.0035987374876089717
2010-06-23,0.0014060265883049095,-0.004116920644656297,-0.00411692064455671,0.0017183027592180267,0.001640650416146805,0.0016592389149594489,0.001503736142113965
2010-06-24,-0.0022169726133449696,0.002893808282317556,0.0028938082839793378,-0.0011235009693161269,-0.0018809907893885258,-0.0023360147000576204,-0.0023263840608545028
2010-06-25,0.00310264275436678,0.01203626584937112,0.012036265849164618,0.0051090968076297205,0.003316897999539048,0.0030075558335516117,0.0029941647724431864
2010-06-28,0.003586028717630141,-0.013603826723881607,-0.013603826723855628,0.0009059912879516574,0.002524463556081713,0.0030934415195471576,0.0034961001992870333
2010-06-29,-0.0016843942909354759,0.0014865002047168563,0.0014865002084567536,0.000977305169474585,-0.0005350314332823736,-0.0012929297741006707,-0.0017178120921488294
2010-06-30,0.0001499546557612863,0.0033809159163484814,0.003380915917203131,0.0014697987734866302,0.000456884391110135,6.671507633893015e-05,3.1868202653884126e-05
2010-07-01,-0.0035294935084388968,-0.038132802249726816,-0.038132801800942584,-0.00978558675828134,-0.0064133733712092855,-0.004761211782780883,-0.003848023940273504
2010-07-02,-0.000641848709735382,0.012388900690184279,0.012388900466706598,0.0007530929878896142,7.561350082418983e-05,-4.46938188516377e-05,-0.0004923463831143504
2010-07-06,0.0014921342216160927,-0.016710235151492836,-0.016710234914450783,-0.0031944756497198634,-0.0008884441937460075,0.0007313750883908288,0.0012773043517779747
2010-07-07,0.0030318961007016476,0.010471214474021773,0.010471214390159078,0.0026644254850001214,0.0021094534362746664,0.0031626461877605205,0.0031587304703801777
2010-07-08,-0.000948178047352366,-0.004416922259218636,-0.004416922214557917,-0.0022305856739149865,-0.0017820085571988997,-0.0012668992173573423,-0.001037761207367316
2010-07-09,-0.0003866080230960911,0.009811462629611079,0.009811462504650592,0.0011865627343519147,0.0001865063678694323,5.6725865225537575e-05,-0.00020994511218941359
2010-07-12,0.0004777225491354731,-0.008617812328074237,-0.008617812225416022,-0.0007873737920558455,-0.00017302303512478634,0.0003278139958327042,0.0004847291339813431
2010-07-13,-0.000543313211831431,0.008692724597686663,0.008692724499725468,0.00014638921364373836,-0.0005088716165329021,-0.00028928505586434117,-0.0004552912188396929
2010-07-14,0.003885826054608854,-0.0005069073865154872,-0.0005069073233838761,0.0030806040189648165,0.00334088864332327,0.0037661524030669913,0.0038869184053766936
2010-07-15,0.00406083746683894,-0.0005917133812419761,-0.0005917133150257214,0.0031069843984528056,0.0034467731455316564,0.003624579944716322,0.0039138505098694765
2010-07-16,-0.0004204018633275908,-0.013194664160532943,-0.01319466405004821,-0.0009293612382634819,-1.4690848980425386e-05,-0.0009212161962712795,-0.00067265601251143
2010-07-19,-0.0013871449937991054,-0.008056868318197852,-0.008056868227709346,-0.003039295269836484,-0.0023297421444288258,-0.0015741500531982755,-0.0013919660652997878
2010-07-20,0.003385482174050436,0.007949521664811776,0.007949521632084178,0.003509787218609395,0.0033530069153591135,0.0035480085267605155,0.0034554691420085604
2010-07-21,0.002627674732015972,-0.006858148660683239,-0.0068581485196350656,0.0018175815761036773,0.002610229566401001,0.00222418132280211,0.002444152259629462
2010-07-22,0.0003634505536773691,0.00871818860222806,0.008718188518550996,0.00016770549204903062,-0.0003202438890075321,0.0005118396328882557,0.00047791162781907204
2010-07-23,-0.0018337548546282223,-0.006589117477035056,-0.006589117421572865,-0.0029229338115427383,-0.0023970486502171706,-0.0018428443550387863,-0.0017975221237379602
2010-07-26,0.00024563663029919525,-0.004909981158776722,-0.004909981056384738,-7.96292262779108e-05,1.6431419249451906e-05,9.410884490557159e-05,0.0002553968707015297
2010-07-27,-0.004185551753814187,-0.01739953744063716,-0.017399537287498323,-0.0065852138733867305,-0.005383966298836307,-0.004569622601123036,-0.004257050554064112
2010-07-28,0.002375637773535999,0.002378615434381892,0.002378615421502195,0.003485822477039102,0.003172593162334314,0.002245280216270018,0.0022852108018498463
2010-07-29,0.0017055432590407094,0.004482353152289509,0.004482353091755487,0.001994027903522433,0.001966305912732169,0.0014813853589787929,0.001553646456364799
2010-07-30,0.005269433687200564,0.010499579478459697,0.010499579456652475,0.0068496291770148154,0.0059869679639494855,0.005194847289432758,0.005229209328214912
2010-08-02,0.00040147367471110584,0.00043296435191786387,0.002856066476274899,-0.00022217371939770025,-0.00032077862772494914,0.00017492647596961675,0.0003773326738727434
2010-08-03,0.003335510062061342,0.003894728618077492,0.0028711153211355978,0.003478601331009079,0.0035026142439582575,0.003227371017032965,0.0032938847415884265
2010-08-04,-0.0013938180395564048,0.006293675060727422,0.0063533248885483395,-0.001385559479249343,-0.0016112057136591362,-0.0013140269024489726,-0.0013063969213663595
2010-08-05,0.0032308225685071523,0.00222757139629981,0.0011255196675648005,0.0030387745016517975,0.0032357229386934527,0.003211791993542157,0.0032289710621555834
2010-08-06,0.004936156861656826,0.007351623834186194,0.006471441104147546,0.005745410131538398,0.005619599482088455,0.005121144097934627,0.005020289213540252
2010-08-09,0.00014749216046805458,-0.0037338325314059118,-0.0026320241051681625,-0.0002757774306821892,-0.000253048734446204,-0.00011438097795279933,0.00013943117776138436
2010-08-10,0.0027196948984664626,0.002810918454654532,0.0018839981410916362,0.003260703343317628,0.0032051648922144516,0.0028593859598529114,0.0027139799368371964
2010-08-11,-0.00035728814653679386,-0.0033127240992364415,-0.004888674617591238,0.0010958855537521739,0.000859649847510191,-0.0004715094940753728,-0.00040640302670869044
2010-08-12,-0.002042852535741435,0.012186810545674387,0.010425270326110958,-0.0002483195258863313,-0.0006888704224680131,-0.0014876773831773438,-0.0018823727503330945
2010-08-13,0.0028001386180753762,-0.00025257876649265043,-0.00023496316795967864,0.003232501504307317,0.003254531299875074,0.002836248067671354,0.002734361706873356
2010-08-16,0.00617763787636072,0.008337590625977498,0.007699924948345815,0.006988752330614689,0.006874943539496359,0.006291724550579358,0.006264140090278536
2010-08-17,-0.0018968135703476552,0.00016701447174072293,0.00174081237523116,-0.0021733959110508128,-0.0023529358724633243,-0.0019331796852309902,-0.0018860351194780467
2010-08-18,2.152198569760344e-05,0.003924853617020663,0.003717037450830407,0.00028410083640495465,0.00018723172737122873,0.00030506025197185593,0.00011812908440389513
2010-08-19,0.0015745976831618158,0.0014140589501254741,-0.00048357836515544594,0.0020349542936464182,0.0021955850456352177,0.001672364158489481,0.0015460622713199257
2010-08-20,-0.0023945244304245383,-0.0034886466570560604,-0.0034704711020827617,-0.002686936672150586,-0.0025482026675544,-0.00215654517006314,-0.0023437930223897396
2010-08-23,-0.00017032628781543657,-0.0015837496000490336,-0.0018359589519783004,0.0004314738982631461,0.0003346640358870001,-6.494901928666419e-05,-0.00019011247126077269
2010-08-24,0.0037785726420125343,0.004842226054480481,0.004232501684252821,0.005709479157401942,0.005222842242165626,0.0037762568457364587,0.0037508640822863093
2010-08-25,-0.001740421188052399,0.008308408066220352,0.008824843991964704,-0.0007144797070399722,-0.0013406365051782387,-0.0014725492942341267,-0.0015747302320697765
2010-08-26,0.0020642408195392647,-0.0032959914620327435,-0.003482582123851663,0.002024005773528126,0.002064895974366099,0.0015712467708062228,0.0018644934609892694
2010-08-27,-0.00693641761277608,0.00041338502179777414,0.001515115627742425,-0.007174887299647659,-0.007333302262294894,-0.0069052591642772,-0.006897779876411048
2010-08-30,0.004671312363458524,-0.0008263653615240285,-0.0013057404919141202,0.004891960780495586,0.004909178668174308,0.004516798003604272,0.004571213922626605
2010-08-31,0.0034288287152848262,0.0096766035348399,0.009534590120964692,0.005263361917104303,0.004787065505134747,0.0038446479718996507,0.0035670519023172087
2010-09-01,-0.0013345293370951028,-0.003194621420257282,-0.003194621416672372,-0.005574932739741856,-0.00398068054598677,-0.0017295310073242032,-0.0013084302484817067
2010-09-02,-0.001188527051973809,0.004930548623147013,0.004930548610738716,-0.0014175002260735647,-0.001588923273896814,-0.0010408337277100221,-0.001047479978432686
2010-09-03,-0.0024286401919765277,-0.0035162343737978885,-0.003516234371620408,-0.0048973670028705785,-0.0041583039409873734,-0.002616721052640547,-0.0023947899771572523
2010-09-07,0.0055189788415543894,0.006893125990691029,0.006893125989917426,0.007636903147432594,0.006209496309661278,0.005464767609600685,0.005433741344201604
2010-09-08,-0.000723114547306225,8.151700534875239e-05,8.151699918590438e-05,-0.0022736285497662045,-0.0017821697083698629,-0.0007584956139374821,-0.0006641970734271307
2010-09-09,-0.005738517266987708,-0.009371701851790482,-0.009371701860408255,-0.009446169412877792,-0.00735060930926934,-0.005736962584973582,-0.005672603654500841
2010-09-10,-0.0010469711027799589,0.0013985340718771777,0.0013985340681772485,-0.0011740738330086042,-0.001338320849814556,-0.0011014786892391548,-0.0010224347840589454
2010-09-13,0.005249882979180276,-0.0009036441853196298,-0.0009036441680843055,0.0036860467576413924,0.004225630272016723,0.004880936992428531,0.00513618221895884
2010-09-14,0.005643283036695923,0.01973354580953779,0.019733545782612882,0.00865350429923839,0.006842319882183423,0.0061930790378541545,0.005873170481081935
2010-09-15,-0.00198571941726422,-0.0006450105129670591,-0.0006450105214824697,-0.0031692774015900094,-0.0023028400279844208,-0.0018960676368648954,-0.0019065837731684354
2010-09-16,-0.001574217094316377,0.005567167967563735,0.005567167945341955,-0.001921186055060975,-0.001749580507657944,-0.0011466790712223451,-0.0013554701878436548
2010-09-17,0.0021267521164609615,-0.0007221081579283917,-0.0007221081509514171,0.0018242907678780451,0.0017725148260887558,0.0019795826223434343,0.002069620924618265
2010-09-20,0.004458367248754591,0.0026497657710478073,0.0026497657863304713,0.004276455295566528,0.0036821670684161756,0.004215350795385042,0.004419137841171761
2010-09-21,0.0068671850691304215,0.009129489581799044,0.00912948957206372,0.008168368964941664,0.007674079769954156,0.007200725223366566,0.006940168039907713
2010-09-22,0.0006964116679812893,0.0015077756416694843,0.0015077756402059883,0.0012636599144812966,0.0005987970047032221,0.0004889883000605,0.0006043140120290946
2010-09-23,0.0008121639968339256,0.0007924414070574759,0.0007924413955879839,-0.0001010530481878602,0.00012045201256882798,0.000710644159408691,0.0007744450348372567
2010-09-24,-0.0004583403526547958,0.003087881081587529,0.0030878810793655287,-0.0017638885466427778,-0.0016585769551094032,-0.0005777518142594529,-0.0003722345113290615
2010-09-27,0.004846982153624557,0.00023678884475053508,0.0002367888548167052,0.005497456579086846,0.005225582022664543,0.004835608618927623,0.004765308184375261
2010-09-28,0.0031599966174185035,0.00891727621747651,0.008917276211448444,0.005026168525813501,0.004165469171673486,0.003444521787674848,0.0032574903883189066
2010-09-29,-0.0012613145104387602,0.0007821546750597097,0.0007821546661459511,-0.0019134471629176364,-0.0016599191813060354,-0.001437842318828153,-0.0013013998536044458
2010-09-30,-0.0006996624954205277,-0.00031256965230586076,-0.0003125696506469655,-0.00028303011585528726,-0.00029950230591824223,-0.0006714836839457616,-0.0006940594674045286
