Date,SPY,QQQ,IWM,EFA,EEM,IEF,TLT,LQD,HYG,GLD,DBC,VNQ
2011-02-01,8.203248401234e-05,0.08896219797983147,0.003165107794668785,1.0169856177521746e-05,8.710967299994408e-06,0.7392517603709156,7.924078926362859e-06,0.0038707847785876804,0.09169563456561164,0.02979105612107832,0.04313357900288866,2.104200000160352e-05
2011-03-01,5.95112481873296e-05,0.09307018724644656,0.0005477955726777836,9.196136782276291e-06,7.778215127362824e-06,0.7399985476135885,7.80856622609042e-06,0.0055636471357499466,0.08923202550751742,0.030030351655250906,0.04145728049211738,1.587061032841795e-05
2011-04-01,5.209916594586963e-05,0.09161911071873372,0.00023624887694846788,8.492438366022922e-06,6.765573280542378e-06,0.7432574454368496,6.631009464217614e-06,0.004793432124908741,0.08999921662166893,0.028822142143829,0.041184971504529815,1.3444385475177974e-05
2011-05-02,4.186367916045613e-05,0.09094081593979357,0.00015322364977253885,7.4729262263713275e-06,5.8281879107469e-06,0.7419376842509353,5.734926441695888e-06,0.0053908681795693195,0.08982672779841291,0.030861228762578703,0.0408180184609639,1.0533238234775995e-05
2011-06-01,3.3601026569886915e-05,0.09013409728024825,9.494734838642405e-05,6.171743103154966e-06,4.818537713641057e-06,0.7386168445148028,5.012398583166061e-06,0.008525759411323322,0.08909013436286141,0.03449726700740731,0.038982168949398724,9.177419601876638e-06
2011-07-01,3.103728724283362e-05,0.08725318256445162,0.00010725160490836323,6.3474908177755855e-06,4.791141710866067e-06,0.7360019811779045,4.853230446432635e-06,0.008320921420735474,0.08868799399363525,0.03728152317048234,0.042291107123207106,9.009794457368816e-06
2011-08-01,2.1735646775094803e-05,0.08401503652654807,3.969777756179042e-05,4.908466819578308e-06,3.601533654997395e-06,0.7357638545530055,3.539097003045772e-06,0.008570482507597682,0.08936580058490692,0.03718673133467987,0.04501918359511464,5.428376332748833e-06
2011-09-01,3.135815076309061e-05,0.08243907468425825,3.54661890578812e-05,6.623267346897911e-06,4.754852623618685e-06,0.7398709656146077,4.251291552692285e-06,0.003864383207728311,0.09236486133253989,0.03097184953831011,0.05040063381976382,5.778051447507129e-06
2011-10-03,1.7789463675615568e-05,0.08246925391145955,2.0925837362185335e-05,5.100218114005165e-06,3.496926160446842e-06,0.7361184597146971,3.4294379441246525e-06,0.007971158648424225,0.09816243591515794,0.026503713780865596,0.048720289144510376,3.9470016286862585e-06
2011-11-01,0.0021004821668700836,0.06880030531020331,3.7029049582325666e-05,4.851180819424029e-05,2.647256719216672e-05,0.6014291118633357,1.2732858474732117e-05,0.12308434998302899,0.140261871572678,0.019483478942971224,0.04470288848940357,1.2765388065670128e-05
2011-12-01,0.011490611692130353,0.06748203811908582,1.081395839741982e-05,1.5611365916904927e-05,8.89532848858013e-06,0.6426180898796665,1.699170607750173e-06,0.06440065975698171,0.1459444162124863,0.021620324854753875,0.046402961065891056,3.878595593670631e-06
2012-01-03,0.013726275921536657,0.05406050119018246,1.25315913661316e-05,1.7012043702915435e-05,8.154717743468528e-06,0.6144101897777663,2.6355700068469267e-06,0.08067227099733484,0.1732547918526298,0.027269284873551885,0.036562647436678274,3.704027500375835e-06
2012-02-01,0.01764247751948127,0.044055719373566865,7.402783020949984e-06,9.05593157991482e-06,5.652886321231288e-06,0.5893018370191543,1.3435349926065444e-06,0.10857404564769439,0.1849365976324199,0.01362471440095996,0.041838999094468275,2.1541763402948803e-06
2012-03-01,0.030326758184648677,0.03594242772462371,9.828040955012529e-05,0.00010368295283706712,6.733036934208363e-05,0.5832558101632865,1.525294560739503e-05,0.11471261114973687,0.18646830294463387,0.014052267389546352,0.03493264754375485,2.46282224326704e-05
2012-04-02,0.07319248443378482,0.011554186228649009,1.1154180400783452e-05,9.274926607428503e-06,6.7064345925598684e-06,0.6119458167953401,4.7023723575359496e-06,0.05300779751356851,0.22011144551945808,0.014839535619804068,0.015312449896509017,4.446078928009826e-06
2012-05-01,0.07554373587707722,0.0032192007917278137,2.123473663617484e-05,1.466325093745211e-05,1.1311245391672457e-05,0.5919378913640754,7.30270966466213e-06,0.06428757488312292,0.2394408517773295,0.007268938910586042,0.018237658568447154,9.635885003972125e-06
2012-06-01,0.08271153663353457,0.00016914452377608542,2.1215547413388347e-05,1.751178540803231e-05,1.3486688621005034e-05,0.6022578313403436,8.284803096047672e-06,0.05157994680821013,0.23860055703438385,0.002596166750493316,0.022009991369495607,1.4326715224583671e-05
2012-07-02,0.09322666845925047,0.00011803214856411912,2.0879043517134555e-05,2.0520061823653513e-05,1.4175171671993206e-05,0.6224852494732639,7.771659933022424e-06,0.03594066975237848,0.22698364564153334,0.0017246809610081935,0.019443290094446054,1.4417532609780812e-05
2012-08-01,0.0827693547990506,0.00010516575192720624,2.064778072957623e-05,2.2357481571121037e-05,1.419937788773087e-05,0.6174691090394195,1.0980351922732675e-05,0.03631622921427668,0.24144861948922225,0.0006574500550972876,0.021150352788171272,1.5533870724103616e-05
2012-09-04,0.07941499489631627,0.00011064276221205176,1.8949217572510722e-05,1.9743554246804424e-05,1.2273123468888163e-05,0.6135849762598274,9.223066959580312e-06,0.037517610022718244,0.24851630866966537,0.0002542469668968229,0.020529062325296273,1.1969134819629133e-05
2012-10-01,0.0724638248288907,0.00010272913749280509,1.960807295951773e-05,1.9463184543577922e-05,1.2328042970810046e-05,0.6089027163300408,8.733630010925618e-06,0.035957192280516075,0.2598395171487428,0.00015665000520087205,0.02250412665524119,1.3110683389939708e-05
2012-11-01,0.06690781119433356,6.351612057512487e-05,1.3626633830344998e-05,1.4671044292831446e-05,1.0335857688440476e-05,0.5788266988057694,8.551654185335917e-06,0.0681329244317575,0.26035490511763104,0.00021972031682167332,0.02543683796884266,1.0400854272138723e-05
2012-12-03,0.07072284280568653,9.393899368450536e-05,1.6340113358820363e-05,1.7718772561650326e-05,1.267353148833102e-05,0.5806490498209507,1.0877602323285142e-05,0.06962101048610987,0.25097064541270736,0.00027995772653619097,0.02759260136046054,1.2343374132327031e-05
2013-01-02,0.0730784476203405,0.00010183829209906757,1.8496165723437486e-05,2.05376341622252e-05,1.3667397852684188e-05,0.5845471381827851,1.1817927961668519e-05,0.06991187078531058,0.2445461528999778,0.0003191771704770832,0.027417764042803324,1.3091880506383494e-05
2013-02-01,0.0755173357628015,8.790928022850281e-05,1.689787744943714e-05,2.0626965700950733e-05,1.3912738841491358e-05,0.5852086670206734,1.2252301725790014e-05,0.06776868780685626,0.24355363293815357,0.0003275159969982528,0.02746017962672866,1.2381683842006587e-05
2013-03-01,0.07269735378143445,8.034761147307565e-05,1.600083799709155e-05,2.0130996524481263e-05,1.2860197590127237e-05,0.5770533065484346,1.1431683133818224e-05,0.07268479588102916,0.24683611717472084,0.00035949396389030135,0.03021585290152543,1.230842224662102e-05
2013-04-01,0.07450540763880552,8.184312252659475e-05,1.8792446817153225e-05,2.4126034935834176e-05,1.5152495402145526e-05,0.5816997689661556,1.3067708222058044e-05,0.06740942346772899,0.2441968611137618,0.0005508194017907319,0.03147100027854152,1.3737325311886423e-05
2013-05-01,0.06742721184539664,0.00011911296139954051,2.209415566335303e-05,2.789275674387843e-05,1.5238654739074345e-05,0.5782328417779227,1.1322824197760087e-05,0.06807227786631867,0.2547228471052288,0.0002928154913653995,0.03104242323137775,1.3921329646630821e-05
2013-06-03,0.06609910894010831,8.492159820795208e-05,1.1688628988402097e-05,1.2246832693085816e-05,7.976821228036117e-06,0.5664272212377736,6.336137712210291e-06,0.06304790199959882,0.2715816876295779,5.458502606198151e-05,0.03265862523969502,7.699908354836123e-06
2013-07-01,0.06678991622688984,7.707363305026885e-05,1.4169587659789943e-05,1.4074813854504979e-05,7.291325942341163e-06,0.5983826277114295,5.450126757777807e-06,0.025623501907293234,0.27317374438216424,5.412843469647183e-05,0.03585018103931268,7.840810949316843e-06
2013-08-01,0.07884389007695253,7.433452809991452e-05,9.78032745259549e-06,9.692961102463944e-06,4.467065620751277e-06,0.6045747691054363,3.995346341960832e-06,0.024093535546308383,0.2517151016040768,1.764007486990688e-05,0.04064762738740256,5.1659763360925204e-06
2013-09-03,0.07873079963262303,6.225011045066194e-05,8.249179261161377e-06,1.016686597820518e-05,4.2058682982384845e-06,0.6115521374775699,3.6080547734377894e-06,0.017234598081735154,0.24874949392579113,1.5146398845539348e-05,0.04362498788405839,4.356520615222645e-06
2013-10-01,0.083391536035239,9.157578924317729e-05,1.0177361798590903e-05,1.1473819825858168e-05,4.5743116145773685e-06,0.6231111548470035,4.17063198185281e-06,0.007161519700220675,0.24353890972550055,1.3022773900776516e-05,0.042657457526656235,4.427477015260487e-06
2013-11-01,0.08022967213109894,5.9634110626222266e-05,9.746921409517115e-06,1.1786552021413654e-05,4.401128444883751e-06,0.6250526179650165,3.793974827547551e-06,0.005508627039110282,0.2404990930039418,1.1162066120183252e-05,0.04860540630604779,4.058801335032553e-06
2013-12-02,0.08538961126803715,5.048782847164142e-05,8.186908182955716e-06,9.23500113028798e-06,3.4700869571085503e-06,0.6305159648004277,3.0852866631033197e-06,0.0020616111216034292,0.22745196671358445,9.6621890044817e-06,0.054493477253921035,3.241542016333278e-06
2014-01-02,0.09367653612272506,5.2097478233127726e-05,9.800331059455343e-06,1.234734460360631e-05,4.633324971392829e-06,0.646249089115895,3.2205667243473688e-06,0.0011414914193884525,0.2031637085469361,9.71833775173904e-06,0.055673123672643376,4.2337390683108895e-06
2014-02-03,0.09686506681842048,4.7883060740373704e-05,8.35807929398876e-06,1.1473453834348918e-05,4.1115573198014385e-06,0.6510226140622998,2.859177116355393e-06,0.0007041297949034785,0.19929713278901576,7.58083764927146e-06,0.052025151751162006,3.638618244586341e-06
2014-03-03,0.0994992501120422,4.639896020292656e-05,1.0475431832250021e-05,1.4725446670047472e-05,5.3358425988719615e-06,0.6555971489804622,3.721177879317907e-06,0.0009967266414444296,0.19068515416974774,8.806700112905895e-06,0.05312736191336139,4.894623645843371e-06
2014-04-01,0.09782028919866083,4.015585805074778e-05,1.0897108821230502e-05,1.7160389790973992e-05,5.45897400380626e-06,0.6543283201658902,3.886497361680888e-06,0.001490157603839024,0.1897546352837113,8.247031135691435e-06,0.05651583731397705,4.9545747576532096e-06
2014-05-01,0.10112258167266854,4.0149620789059736e-05,1.057617454763314e-05,1.576175194645708e-05,5.27029815926782e-06,0.6572035371529168,3.74026608402008e-06,0.0008359172022370597,0.18592875529670655,7.526613302379127e-06,0.054821570942737076,4.613007905132916e-06
2014-06-02,0.09991004176362334,3.167196099383251e-05,8.021851050538823e-06,1.1671116529405719e-05,3.652775104511815e-06,0.6561264618551355,2.5888716661806287e-06,0.0003358690196065168,0.18180433173001154,5.0991927706559e-06,0.06175735444045092,3.235423057135967e-06
2014-07-01,0.09737375414187309,3.2519201205579844e-05,8.281452830846006e-06,1.136407879984585e-05,3.753117416066397e-06,0.6553704628882028,2.881174775445883e-06,0.00026527820130595246,0.1901095863005917,5.642214836919211e-06,0.05681314508120231,3.3321469595905315e-06
2014-08-01,0.10249231644739641,0.0001086581804345221,1.2424850260510831e-05,1.5115091199584799e-05,4.97584288996415e-06,0.6613834212411558,4.02053540523555e-06,0.00027617504049859404,0.17705290563708911,6.621183370124819e-06,0.058638878745261185,4.487205038862688e-06
2014-09-02,0.10630956009155704,0.0002898950972506694,1.549694047869849e-05,1.5347586244725898e-05,4.61830282200656e-06,0.6393460162840143,2.667952556934661e-06,0.0001507172161857983,0.20071882399823693,5.1410630520727246e-06,0.053136925737232624,4.789730368122454e-06
2014-10-01,0.10280015365063795,9.339389005945685e-05,8.721228026667017e-06,8.584505865458862e-06,2.4816102089029853e-06,0.6275794545240749,1.3276941875885153e-06,4.995271663912023e-05,0.21467364243772807,3.1407705786874658e-06,0.05477658054136206,2.5664306311809143e-06
2014-11-03,0.0811159937413718,0.00018112632007240083,7.5059681313799946e-06,5.344089383691682e-06,1.959896016203854e-06,0.6012126744663256,1.6968210752071613e-06,3.8207942475224236e-05,0.25630951137451463,2.4158506206370044e-06,0.061121450390285534,2.113139727597039e-06
