Date,QQQ,IWM,EFA,EEM,IEF,TLT,LQD,HYG,GLD,DBC,VNQ
2011-12-01,4.0480815698527565e-08,2.5795186655265492e-08,1.6568587949443094e-08,2.163741514577116e-08,0.2999999453001344,0.2999999878503688,0.09999987675717316,3.925359863648773e-08,0.2999999818078217,2.5800094519645736e-08,3.8748803128654344e-08
2012-01-03,3.6114223065199515e-07,1.7914043612446667e-07,1.3431301589095141e-07,1.0270778972212769e-07,0.29999917283119343,0.299999878573135,0.09999940572627736,6.000683741827929e-07,0.29999906538033366,1.4305150961789235e-07,9.570657043695338e-07
2012-02-01,1.3153054086603285e-08,7.77902243976966e-09,4.984851633615488e-09,5.413976159611045e-09,0.2999999541025089,0.2999999943590057,0.10000000095844994,8.795909719058153e-09,0.2999999635481982,5.086737550791677e-09,4.181828577398307e-08
2012-03-01,0.29999648247248556,8.340582512551469e-07,3.933685429530178e-07,5.228845598126214e-07,0.10000138407037264,0.2999997303876199,1.205626566749074e-06,2.154828578949858e-06,0.29999536361100587,5.560248825863707e-07,1.3726671337852918e-06
2012-04-02,0.29999997846942206,9.711549897432456e-09,5.525430576313122e-09,5.349193557794804e-09,3.8735671968548106e-07,0.2999999906142261,2.121642830496481e-08,9.996873827303657e-09,0.29999994788066675,7.621045592727123e-09,0.09999963625844363
2012-05-01,0.2999999641656217,2.0468655584980112e-07,1.7831580353286294e-08,1.61832474742097e-08,0.09999978450091425,0.29999998142458906,1.853900543068122e-08,2.301474775268655e-08,3.057816514512917e-08,1.6244514429996022e-08,0.29999994283105863
2012-06-01,0.2999989558134609,0.09999624570158815,3.715156170209399e-07,3.6189124992804344e-07,1.7663464978654702e-06,0.2999995731841119,1.4934788608585765e-06,1.8001828345897926e-06,2.5452378362009216e-07,2.2739965693025995e-07,0.2999989499623383
2012-07-02,0.29999994080094794,0.2999999503672522,1.2550655269276535e-08,2.6484331609463403e-08,2.498957610288875e-08,6.41914456003973e-07,3.781773133233555e-08,0.09999935930693436,8.052197632458903e-09,7.986912980565442e-09,0.2999999897290043
2012-08-01,0.29999991280978416,0.09999938031328695,3.100987997712148e-08,2.9378167573191563e-08,1.5490525017171187e-07,0.29999995371372046,1.7710244281383848e-07,3.427494552848264e-07,1.583742463120496e-08,2.5324780141518254e-08,0.29999997685580776
2012-09-04,0.2999996303043903,0.2999979151725767,6.764895766368557e-07,3.5951155165016956e-07,8.375050571629242e-07,0.0763501536118533,0.023637145891332666,1.2796525521434999e-05,2.447481242556073e-07,4.974833420029015e-07,0.2999997427566741
2012-10-01,0.2999996036398615,0.20003194737373656,1.0791197637154769e-06,1.2336399505207957e-06,6.351881640828948e-07,9.156793249565625e-07,1.3371449580880352e-06,1.037063493570497e-06,0.19997440733456137,7.848370859769226e-07,0.29998701897909974
2012-11-01,0.2999960016696239,8.889316028855645e-07,4.451048728826687e-06,3.895321925051933e-07,7.132571065099981e-07,1.0266160248988378e-06,0.29999643373823015,0.10000678200489801,3.0673711145230597e-07,3.432340607622128e-07,0.29999266323042006
2012-12-03,7.066427246693801e-08,1.3302293887549148e-07,1.0291466186314457e-07,7.909882980097298e-09,1.8325913803788176e-07,0.29999990107113544,0.29999955488495994,0.1000001544430649,3.381852080818346e-08,7.897354402646639e-09,0.2999998501140702
2013-01-02,1.787134029846198e-08,8.116262070512516e-08,0.2999992387666592,2.680690705622648e-07,8.821757108661241e-08,0.29999985463967205,0.10000029021819802,0.2999991707556013,3.487250404413411e-08,1.1940348433882516e-08,9.434864142397588e-07
2013-02-01,7.821059772860291e-07,0.29999905006067135,0.29999933949365937,2.2236079502957723e-05,9.415921160801298e-07,1.1987666461617693e-06,1.6510788622745227e-06,0.12049322304524207,6.380877569097612e-07,6.708662867336081e-07,0.27948026882327903
2013-03-01,2.649619002375998e-07,0.29999960522302427,0.29999986109395893,0.29999229659133764,1.433439713287355e-07,1.0433240949118235e-07,3.377017002606034e-07,7.521007278932178e-06,1.2531750203095175e-07,2.551713449180199e-07,0.09999948525557191
2013-04-01,2.853397355115929e-07,0.29999998219563,0.299999976960907,0.055608210497767284,3.13271799812667e-08,1.88254943943518e-08,8.01089491090942e-08,0.04439144119889723,2.0014753272875318e-08,8.547489012896856e-08,0.299999868055796
